iid	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
225	0	150	0	150	NOC
226	0	150	39	150	MOD
227	0	150	0	150	NOC
228	0	150	0	144	MOD
229	0	150	0	150	NOC
230	0	150	35	150	MOD
231	0	150	0	150	NOC
232	0	150	0	150	NOC
233	0	150	0	150	NOC
234	0	150	0	150	NOC
235	0	150	0	150	NOC
236	0	150	0	150	NOC
237	0	150	0	150	NOC
238	0	150	0	150	NOC
239	0	150	0	150	NOC
240	0	150	0	150	NOC
241	0	150	0	150	NOC
242	0	150	0	150	NOC
243	0	150	0	150	NOC
244	0	150	32	150	MOD
245	0	150	0	150	NOC
246	0	150	0	150	NOC
247	0	145	0	145	NOC
248	6	150	49	150	MOD
249	0	150	0	150	NOC
250	0	150	0	150	NOC
251	0	150	0	150	NOC
252	0	150	0	150	NOC
253	0	150	0	150	NOC
254	0	150	0	150	NOC
255	0	150	0	150	NOC
256	0	150	0	150	NOC
257	0	102	0	102	NOC
258	0	150	0	150	NOC
259	0	119	0	119	NOC
260	0	150	0	150	NOC
261	0	150	31	150	MOD
262	0	150	0	144	MOD
263	0	150	0	150	NOC
264	0	126	0	126	NOC
265	0	150	36	150	MOD
266	0	150	0	150	NOC
267	0	150	0	140	MOD
268	0	150	8	150	MOD
269	0	150	13	150	MOD
270	0	150	0	150	NOC
271	0	150	2	150	MOD
272	0	150	0	150	NOC
273	0	150	0	150	NOC
274	0	150	34	150	MOD
275	0	150	31	150	MOD
276	6	150	6	150	NOC
277	0	150	0	150	NOC
278	0	150	0	150	NOC
279	0	146	0	146	NOC
280	0	150	0	150	NOC
281	0	150	0	150	NOC
282	0	150	0	150	NOC
283	0	150	0	150	NOC
284	0	150	0	150	NOC
285	0	150	0	150	NOC
286	0	150	0	150	NOC
287	12	150	46	150	MOD
288	0	150	0	150	NOC
289	12	150	47	150	MOD
290	0	150	0	150	NOC
291	0	150	0	150	NOC
292	0	150	0	150	NOC
293	0	150	0	150	NOC
294	0	150	0	150	NOC
295	0	150	0	150	NOC
296	0	150	0	150	NOC
297	0	81	0	81	NOC
298	0	150	0	150	NOC
299	0	150	0	150	NOC
300	0	150	11	150	MOD
301	0	150	0	150	NOC
302	0	150	0	150	NOC
303	0	150	0	150	NOC
304	0	150	0	150	NOC
305	0	150	0	150	NOC
306	0	150	0	150	NOC
307	0	150	0	150	NOC
308	0	150	0	150	NOC
309	0	150	31	150	MOD
310	0	150	0	150	NOC
311	0	124	0	124	NOC
312	0	150	0	150	NOC
313	0	150	0	150	NOC
314	0	150	0	150	NOC
315	0	150	0	150	NOC
316	0	150	0	150	NOC
317	0	150	0	150	NOC
318	0	150	0	150	NOC
319	0	150	0	150	NOC
320	0	150	0	150	NOC
321	0	108	0	108	NOC
322	0	150	0	150	NOC
323	2	150	11	150	MOD
324	0	150	0	150	NOC
325	0	85	0	85	NOC
326	0	150	6	150	MOD
327	0	150	0	150	NOC
328	0	150	0	150	NOC
329	0	150	0	150	NOC
330	0	150	0	150	NOC
