"Experiment","Sample","Treatment","ole","ubq","dCt","ddCt","FC"
"Exp070724_1","control_1","control",38.3333333333333,21.7364179466667,16.5969153866667,1.52857039,0.346620673776205
"Exp070724_1","ole_gR1_1 ","ole_gR1",24.3935462266667,21.6870430966667,2.70650313,-12.3618418666667,5263.62818208414
"Exp070724_1","ole_gR3_1 ","ole_gR3",28.78005312,21.8402296166667,6.93982350333333,-8.12852149333333,279.852241576007
"Exp07082024_1","control_3","control",33.2740383666667,21.6657666966667,11.60827167,-3.46007332666667,11.0048938675351
"Exp07082024_1","ole_gR1_3","ole_gR1",24.8835351633333,22.0651157766667,2.81841938666667,-12.24992561,4870.74118548266
"Exp07082024_1","ole_gR3_3","ole_gR3",28.48220258,22.31295115,6.16925143,-8.89909356666667,477.412842886505
"Exp07082024_2","control_2","control",38,21.0001520666667,16.9998479333333,1.93150293666667,0.262155926012253
"Exp07082024_2","ole_gR1_2","ole_gR1",22.8419303666667,21.4226696233333,1.41926074333333,-13.6490842533333,12846.4690109527
"Exp07082024_2","ole_gR3_2","ole_gR3",27.2292091966667,21.0914459133333,6.13776328333334,-8.93058171333333,487.947362037072
